0.5 0.05 1.47 -0.150895 -0.710182 11.7388 -7.17503 0.905368 4.26109 -6.89478 -1.34884
0.5 0.05 1.5 -0.145329 -0.714364 11.6873 -7.11198 0.871974 4.28619 -6.95374 -1.52976
0.5 0.06 0 -0.184749 -0.119801 -8.45771 2.73129 1.1085 0.71881 -8.86506 -16.3877
0.5 0.06 0.03 -0.193018 -0.128038 -10.7785 0.179376 1.15812 0.768231 -2.63904 -1.07617
0.5 0.06 0.06 -0.201299 -0.135933 -12.2847 0.0945584 1.2078 0.815598 -2.86933 -0.567263
0.5 0.06 0.09 -0.209359 -0.143996 -14.087 0.0231193 1.25616 0.863974 -3.24403 -0.138629
0.5 0.06 0.12 -0.217058 -0.152326 -16.2462 -0.0494044 1.30236 0.913955 -3.75048 0.296513
0.5 0.06 0.15 -0.22427 -0.160967 -18.8194 -0.128638 1.34562 0.965802 -4.39825 0.771917
0.5 0.06 0.18 -0.23087 -0.169943 -21.8629 -0.217973 1.38522 1.01966 -5.20246 1.30792
0.5 0.06 0.21 -0.236741 -0.179267 -25.4326 -0.319958 1.42044 1.0756 -6.18028 1.91983
0.5 0.06 0.24 -0.241761 -0.188948 -29.5842 -0.436758 1.45056 1.13369 -7.34984 2.62063
0.5 0.06 0.27 -0.245814 -0.198992 -34.3732 -0.570336 1.47488 1.19395 -8.72973 3.4221
0.5 0.06 0.3 -0.248781 -0.209401 -39.8553 -0.722536 1.49268 1.2564 -10.3388 4.3353
0.5 0.06 0.33 -0.250545 -0.220177 -46.0861 -0.895128 1.50325 1.32105 -12.1962 5.37085
0.5 0.06 0.36 -0.250988 -0.231321 -53.1211 -1.08984 1.5059 1.38791 -14.3209 6.53911
0.5 0.06 0.39 -0.249991 -0.242832 -61.0158 -1.30836 1.49992 1.45698 -16.7322 7.85023
0.5 0.06 0.42 -0.360502 -0.30345 8.43168 -29.9285 2.16301 1.8207 4.22011 -3.10919
0.5 0.06 0.45 -0.358604 -0.327328 9.61062 -27.5431 2.15162 1.96397 3.60717 -1.98501
0.5 0.06 0.48 -0.355471 -0.34931 10.459 -25.5231 2.13283 2.09586 2.97532 -1.13842
0.5 0.06 0.51 -0.351427 -0.36966 11.0796 -23.7908 2.10856 2.21796 2.35248 -0.498106
0.5 0.06 0.54 -0.346708 -0.388587 11.5389 -22.2887 2.08025 2.33152 1.7527 -0.01424
0.5 0.06 0.57 -0.341483 -0.40626 11.8814 -20.9739 2.0489 2.43756 1.18262 0.348953
0.5 0.06 0.6 -0.335883 -0.422819 12.1377 -19.8135 2.0153 2.53692 0.644812 0.617741
0.5 0.06 0.63 -0.330002 -0.438383 12.3294 -18.7818 1.98001 2.6303 0.139649 0.811788
0.5 0.06 0.66 -0.323915 -0.453052 12.472 -17.8584 1.94349 2.71831 -0.333723 0.946062
0.5 0.06 0.69 -0.31768 -0.466912 12.5769 -17.0271 1.90608 2.80147 -0.77678 1.03212
0.5 0.06 0.72 -0.31134 -0.480039 12.6527 -16.2747 1.86804 2.88024 -1.1913 1.079
0.5 0.06 0.75 -0.30493 -0.492499 12.7056 -15.5904 1.82958 2.95499 -1.57915 1.09384
0.5 0.06 0.78 -0.298479 -0.504347 12.7407 -14.9653 1.79087 3.02608 -1.94222 1.08236
0.5 0.06 0.81 -0.292009 -0.515635 12.7616 -14.3919 1.75205 3.09381 -2.28229 1.04914
0.5 0.06 0.84 -0.285536 -0.526407 12.7713 -13.864 1.71322 3.15844 -2.60107 0.997933
0.5 0.06 0.87 -0.279076 -0.536703 12.7721 -13.3763 1.67445 3.22022 -2.90015 0.931778
0.5 0.06 0.9 -0.272639 -0.546559 12.7658 -12.9243 1.63583 3.27935 -3.181 0.853194
0.5 0.06 0.93 -0.266234 -0.556005 12.7539 -12.5042 1.59741 3.33603 -3.44496 0.764281
0.5 0.06 0.96 -0.259869 -0.565071 12.7375 -12.1126 1.55922 3.39042 -3.69328 0.66671
0.5 0.06 0.99 -0.25355 -0.573782 12.7175 -11.7466 1.5213 3.44269 -3.92709 0.56199
0.5 0.06 1.02 -0.24728 -0.582162 12.6947 -11.4038 1.48368 3.49297 -4.14743 0.45132
0.5 0.06 1.05 -0.241063 -0.590231 12.6697 -11.0819 1.44638 3.54139 -4.35525 0.335721
0.5 0.06 1.08 -0.234903 -0.59801 12.643 -10.7791 1.40942 3.58806 -4.55142 0.216038
0.5 0.06 1.11 -0.2288 -0.605515 12.6149 -10.4938 1.3728 3.63309 -4.73671 0.0929372
0.5 0.06 1.14 -0.222755 -0.612761 12.5857 -10.2247 1.33653 3.67656 -4.91181 -0.0330933
